key,issuelink.id,type.id,type.name,type.inward,type.outward,inwardIssue.id,inwardIssue.key,inwardIssue.summary,inwardIssue.status.id,inwardIssue.status.name,inwardIssue.statusCategory.id,inwardIssue.statusCategory.key,inwardIssue.statusCategory.colorName,inwardIssue.statusCategory.name,inwardIssue.priority.id,inwardIssue.priority.name,inwardIssue.issuetype.id,inwardIssue.issuetype.description,inwardIssue.issuetype.name,inwardIssue.issuetype.subtask,outwardIssue.id,outwardIssue.key,outwardIssue.summary,outwardIssue.status.id,outwardIssue.status.name,outwardIssue.statusCategory.id,outwardIssue.statusCategory.key,outwardIssue.statusCategory.colorName,outwardIssue.statusCategory.name,outwardIssue.priority.id,outwardIssue.priority.name,outwardIssue.issuetype.id,outwardIssue.issuetype.description,outwardIssue.issuetype.name,outwardIssue.issuetype.subtask
HADOOP-6139,12325670,10030,Reference,is related to,relates to,12430263,HDFS-489,Updated TestHDFSCLI for changes from HADOOP-6139,6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
MNG-4654,12414880,12310000,Duplicate,is duplicated by,duplicates,12795794,MNG-4730,packaging aar declared in one module affects the following modules,6,Closed,3,done,green,Done,2,Critical,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
MNG-4654,12414872,12310260,Related,is related to,relates to,12797044,MNG-729,Ability to additional ArtifactHandlers using external components.xml,6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
MNG-4541,12414999,12310260,Related,is related to,relates to,,,,,,,,,,,,,,,,12795788,MNG-4787,Allow class realm manager delegates to alter public part of Maven core realm,6,Closed,3,done,green,Done,4,Minor,4,An improvement or enhancement to an existing feature or task.,Improvement,False
MNG-4541,12414991,12310260,Related,is related to,relates to,12795534,MNG-4296,allow core extensions configure new classrealms,6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False,,,,,,,,,,,,,,,
AVRO-578,12332697,10030,Reference,is related to,relates to,,,,,,,,,,,,,,,,12467837,AVRO-587,Add Charts and Templating to Stats View,6,Closed,3,done,green,Done,3,Major,7,The sub-task of the issue,Sub-task,True
HDFS-98,12328177,10030,Reference,is related to,relates to,12442703,HADOOP-6418,FileSystem should have mkdir and create file apis which do not create parent path.,5,Resolved,3,done,green,Done,2,Critical,4,An improvement or enhancement to an existing feature or task.,Improvement,False,,,,,,,,,,,,,,,
MAPREDUCE-2117,12334264,10030,Reference,is related to,relates to,12427448,HDFS-222,Support for concatenating of files into a single file,6,Closed,3,done,green,Done,3,Major,2,"A new feature of the product, which has yet to be developed.",New Feature,False,,,,,,,,,,,,,,,
JAMES-774,12314921,10030,Reference,is related to,relates to,12348336,JAMES-592,OOM caused by unbounded cache in InetAddress (was James leaks memory slowly),6,Closed,3,done,green,Done,2,Critical,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
JAMES-774,12314922,10030,Reference,is related to,relates to,12355022,JAMES-679,Make sure our container use an expiration for cached dns data,6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False,,,,,,,,,,,,,,,
